epoch,train_loss,psnr,ssim,batches
1,0.02647938454985771,27.4648494720459,0.9535860419273376,391
2,0.013656150778312512,29.19244956970215,0.9700888991355896,391
3,0.012065006234228154,26.761699676513672,0.9675291180610657,391
4,0.011615603361898066,28.202421188354492,0.9713719487190247,391
5,0.010013255510417282,29.850635528564453,0.9794728755950928,391
6,0.01110723142362083,30.584930419921875,0.9799604415893555,391
7,0.00987909299195232,31.01499366760254,0.9812905788421631,391
8,0.010155824363789024,29.42601203918457,0.9736451506614685,391
9,0.009281292475540848,31.164968490600586,0.9846733212471008,391
10,0.009759475047107015,27.212305068969727,0.9555894732475281,391
11,0.009078649365131164,29.68355941772461,0.9813764691352844,391
12,0.00861246720828173,29.818218231201172,0.9772462844848633,391
13,0.008983055797174497,23.539531707763672,0.905829906463623,391
14,0.009091296757254607,27.423362731933594,0.9724709391593933,391
15,0.009200243353176757,24.034915924072266,0.9088883399963379,391
16,0.008884519154010603,23.74700164794922,0.9130204319953918,391
17,0.008663788787387026,23.73577117919922,0.9115803241729736,391
18,0.00892222064066097,27.697528839111328,0.9610946178436279,391
19,0.008799209156433297,30.232851028442383,0.9719265103340149,391
20,0.008093804874888543,31.122432708740234,0.9808302521705627,391
21,0.00886652733751899,27.72627067565918,0.9598610997200012,391
22,0.008321772730263794,30.909252166748047,0.9864728450775146,391
23,0.008376657400075394,31.97740936279297,0.9854292869567871,391
24,0.008374108649466349,23.906614303588867,0.9143595099449158,391
25,0.008395863469461423,24.11515998840332,0.9112875461578369,391
26,0.008754416813125925,24.034988403320312,0.915824830532074,391
27,0.007611463804517294,31.072101593017578,0.9813712239265442,391
28,0.008110105509624418,24.224233627319336,0.9129015803337097,391
29,0.008246799190754972,26.255050659179688,0.9594597220420837,391
30,0.007790390734353563,31.823671340942383,0.9857997894287109,391
31,0.007901638328833768,28.163288116455078,0.961890697479248,391
32,0.008605306813864948,24.321584701538086,0.917277991771698,391
33,0.00837732047316573,33.24259948730469,0.9885210990905762,391
34,0.00774043690546623,33.02197265625,0.9895965456962585,391
35,0.00839064265077319,31.209739685058594,0.9809735417366028,391
36,0.008025861381555496,28.39211654663086,0.9621000289916992,391
37,0.008024206147421999,28.263408660888672,0.9637496471405029,391
38,0.00734810995550164,33.52538299560547,0.9899030327796936,391
39,0.007686793857165958,32.87833786010742,0.9870602488517761,391
40,0.008231128495701057,24.402101516723633,0.914563000202179,391
41,0.007422555473816516,32.81135177612305,0.9874159693717957,391
42,0.007421643235018034,30.91364097595215,0.9801216125488281,391
43,0.007505512422384204,28.06258201599121,0.9631616473197937,391
44,0.00768071468508638,30.299297332763672,0.9823668599128723,391
45,0.007490944047637112,30.603504180908203,0.9791295528411865,391
46,0.006954845236650075,33.318756103515625,0.9890375137329102,391
47,0.007713310547349284,28.715831756591797,0.9638959765434265,391
48,0.007530416506092491,31.343555450439453,0.9818482995033264,391
49,0.006700463604022417,33.490440368652344,0.9887991547584534,391
50,0.006950457713476208,24.299772262573242,0.9178524017333984,391
51,0.007668743525450702,31.131729125976562,0.9800071120262146,391
52,0.006268357975370325,28.50655746459961,0.9646599292755127,391
53,0.0071048444855119795,28.393779754638672,0.9635891914367676,391
54,0.007542832342483808,28.135337829589844,0.9654588103294373,391
55,0.007232991613797805,32.1675910949707,0.9834491610527039,391
56,0.007093341072218593,24.820323944091797,0.9224429130554199,391
57,0.0071334266127623105,28.26430320739746,0.9639196395874023,391
58,0.007292460310487243,33.09742736816406,0.9892871975898743,391
59,0.0068518573050851675,28.66614532470703,0.9649516940116882,391
60,0.006705032550203411,24.592283248901367,0.9235798716545105,391
61,0.006983766030362996,33.9696159362793,0.9897535443305969,391
62,0.0064418344881118795,33.87435531616211,0.9918150901794434,391
63,0.007169165071207182,32.687294006347656,0.9884140491485596,391
64,0.006919289421935654,34.06221389770508,0.9910053610801697,391
65,0.007275641228005652,31.03020668029785,0.9827868342399597,391
66,0.0064186379900011605,33.8409423828125,0.9895461201667786,391
67,0.006967700691238674,31.896486282348633,0.982600212097168,391
68,0.007125168684762819,35.61286926269531,0.9925468564033508,391
69,0.007201379182024399,32.200626373291016,0.9833038449287415,391
70,0.006934823985199642,28.566757202148438,0.9663000702857971,391
