epoch,train_loss,psnr,ssim,batches
1,0.024903677206229217,24.852048873901367,0.9277305006980896,782
2,0.01673309775093175,24.210857391357422,0.9295216202735901,782
3,0.015419887123948626,25.969852447509766,0.9448754191398621,782
4,0.014595096132925253,26.162460327148438,0.9410302042961121,782
5,0.013928108971299188,26.417104721069336,0.9458999633789062,782
6,0.013519428632295955,26.183273315429688,0.943058967590332,782
7,0.013112250997749207,26.660566329956055,0.9464718699455261,782
8,0.012874214752765416,26.370586395263672,0.9475235342979431,782
9,0.012581862993967121,24.95909881591797,0.9407431483268738,782
10,0.012402680014138636,25.61835289001465,0.946215808391571,782
11,0.012177626137881328,26.251142501831055,0.9443722367286682,782
12,0.011990050785243511,26.6886043548584,0.9498102068901062,782
13,0.011816361433138018,26.331520080566406,0.9441189765930176,782
14,0.011757467997253246,26.961374282836914,0.9479653835296631,782
15,0.01156006863964793,26.30760383605957,0.9512179493904114,782
16,0.011382216940183773,26.952953338623047,0.952470600605011,782
17,0.011371905328300983,27.232128143310547,0.9514935612678528,782
18,0.01117951645756431,26.941843032836914,0.9522948265075684,782
19,0.011132692045215374,27.22771453857422,0.9481572508811951,782
20,0.011094711369613324,27.21440887451172,0.9515321254730225,782
21,0.010995855597812501,27.1973876953125,0.9558723568916321,782
22,0.010913739857428214,26.749183654785156,0.9545550346374512,782
23,0.01083226510516518,27.698862075805664,0.9583459496498108,782
24,0.010731546888294656,27.156068801879883,0.9536320567131042,782
25,0.010707764195568879,27.4398136138916,0.9571325182914734,782
26,0.01061985672325315,27.441150665283203,0.9562125205993652,782
27,0.010614830675437247,27.9129581451416,0.9581546783447266,782
28,0.010549357800465791,27.27886962890625,0.9542451500892639,782
29,0.010464046869779487,27.495325088500977,0.957304060459137,782
30,0.010387296309632718,27.448034286499023,0.9587253928184509,782
31,0.010355056055090236,27.487735748291016,0.955662190914154,782
32,0.010336014143217479,27.474830627441406,0.9564138054847717,782
33,0.010261459181995114,27.412471771240234,0.956747829914093,782
34,0.010252569868798604,27.510799407958984,0.9559509754180908,782
35,0.0101940560528575,27.154766082763672,0.9542152881622314,782
36,0.010149007180796178,27.071020126342773,0.9569790959358215,782
