epoch,train_loss,psnr,ssim,batches
1,0.0728876306615827,18.956602096557617,0.8120051026344299,391
2,0.05106392896869946,16.790748596191406,0.8114185333251953,391
3,0.04688041569674602,17.449865341186523,0.7402728199958801,391
4,0.04063320080118487,19.987714767456055,0.875776469707489,391
5,0.03822469911145051,19.088653564453125,0.8622784614562988,391
6,0.026207413255234662,18.343582153320312,0.8026617169380188,391
7,0.03617940661961885,19.02888298034668,0.8699968457221985,391
8,0.024526478099824903,17.526609420776367,0.7396063208580017,391
9,0.015902457890979698,18.701250076293945,0.8705570101737976,391
10,0.014988081161733098,18.189285278320312,0.8091440200805664,391
11,0.025025307678419838,19.4153995513916,0.8734895586967468,391
12,0.028996933866149325,18.764829635620117,0.8849045634269714,391
13,0.033263993253002465,19.59781265258789,0.8797839283943176,391
14,0.011321013517048962,17.9464168548584,0.8198268413543701,391
15,0.025634056645567,20.167905807495117,0.8900038599967957,391
16,0.03165486989700047,16.388172149658203,0.8188779950141907,391
17,-0.03060354039554134,18.642223358154297,0.8135823607444763,391
18,-0.04412864374063547,14.715787887573242,0.7098803520202637,391
19,-0.17332080102589964,18.307384490966797,0.8361215591430664,391
20,-0.1129665720857718,18.66200828552246,0.8455540537834167,391
21,-0.07219341986805505,18.56871223449707,0.8467628955841064,391
22,-0.011243957629584519,18.252033233642578,0.8566141128540039,391
23,-0.07169350545824793,14.169669151306152,0.619937002658844,391
24,-0.1866284409571258,16.950977325439453,0.824458658695221,391
25,-0.28754929597954004,16.36060905456543,0.769504725933075,391
26,-0.20856806153045668,14.916364669799805,0.6864542365074158,391
27,-0.29774039126980256,14.463945388793945,0.6932393908500671,391
28,-0.16565294911289383,16.431594848632812,0.8117106556892395,391
29,-0.10239894875465795,16.923606872558594,0.8029332756996155,391
30,-0.1318026979970734,17.3259334564209,0.7351656556129456,391
31,-0.1530121213463528,20.13715362548828,0.882664680480957,391
32,-0.1878494000243371,17.016944885253906,0.8039917945861816,391
33,-0.21255852110550533,17.69512367248535,0.853807270526886,391
34,0.04091578072694409,15.595555305480957,0.718719482421875,391
35,-0.10153299431457087,15.726107597351074,0.7637515068054199,391
36,-0.07807370763905633,18.392784118652344,0.8435644507408142,391
37,-0.1537545875031644,15.587879180908203,0.7752029299736023,391
38,-0.29307847508393664,17.16448974609375,0.7843714356422424,391
39,-0.21310569122767128,16.144145965576172,0.8230752944946289,391
40,-0.18177294284653137,15.600419044494629,0.8317198753356934,391
41,-0.19767399769647956,15.905454635620117,0.7193781733512878,391
42,-0.25868730897279196,16.023448944091797,0.8018643260002136,391
43,-0.21200895096268266,16.947589874267578,0.8597747683525085,391
44,-0.08513620453755684,17.35928726196289,0.8674583435058594,391
45,-0.25830800911349716,16.59781837463379,0.8346035480499268,391
46,-0.16765060648560295,15.870983123779297,0.7149419188499451,391
47,-0.118785456948392,16.969358444213867,0.8727976679801941,391
48,-0.13340066019278926,16.714956283569336,0.8102831840515137,391
49,-0.14410509657867424,17.93031883239746,0.8550160527229309,391
50,-0.15624436886285614,16.018836975097656,0.7247957587242126,391
51,-0.10501808757462618,18.537336349487305,0.8730378746986389,391
52,-0.06191396536996298,17.56045150756836,0.8563324809074402,391
53,-0.002519971900679114,19.408531188964844,0.884654700756073,391
54,-0.11571086087452291,17.613298416137695,0.8060016632080078,391
55,-0.13262638925572337,16.617633819580078,0.8422762751579285,391
56,-0.25188566998952566,14.480478286743164,0.746546745300293,391
57,-0.16797344807220999,14.547114372253418,0.6867106556892395,391
58,-0.21285499303418276,16.17613983154297,0.8276970982551575,391
59,-0.06035051874273345,15.98796272277832,0.7232378125190735,391
60,-0.27908589918037774,16.363656997680664,0.8411547541618347,391
61,-0.23289242806508564,16.406158447265625,0.8414468169212341,391
62,-0.26030683113247766,17.370494842529297,0.8577635884284973,391
63,-0.23055248337147563,16.35125732421875,0.7938993573188782,391
64,-0.188282367349376,17.073867797851562,0.8472941517829895,391
65,-0.09852101806374958,18.381183624267578,0.8657543063163757,391
66,-0.24184368013897362,17.62833595275879,0.8070188164710999,391
67,-0.1095950561873329,18.467952728271484,0.8749788403511047,391
68,-0.0995586243817759,18.214710235595703,0.87384033203125,391
69,-0.05502258409219592,19.076431274414062,0.8837202191352844,391
70,-0.2159386908854632,16.307498931884766,0.8297929763793945,391
71,-0.26015660194251355,17.19759750366211,0.8440726399421692,391
72,-0.1471368035211054,17.22758674621582,0.8569563031196594,391
73,-0.07893438534954053,18.33427619934082,0.8777437806129456,391
74,-0.09589837021087214,18.717973709106445,0.8725013136863708,391
75,-0.02034616794156106,18.468101501464844,0.8750929832458496,391
76,-0.09931509219505408,16.76465606689453,0.8491973876953125,391
77,-0.2695568006812021,17.94363784790039,0.8085932731628418,391
78,-0.19095500586006572,16.933757781982422,0.8302952647209167,391
79,-0.1471314617096806,15.541133880615234,0.7172011733055115,391
80,-0.16832481995653695,16.388084411621094,0.7945868372917175,391
81,-0.207676771716179,16.92328643798828,0.8509654998779297,391
82,-0.18623573812263092,17.286556243896484,0.8441579937934875,391
83,-0.20059897569234453,17.57359504699707,0.8663299679756165,391
84,-0.09485653957204364,18.339967727661133,0.8729365468025208,391
85,-0.07605268204313181,18.356647491455078,0.8561635613441467,391
86,-0.20318740585942746,14.707164764404297,0.6763646602630615,391
87,-0.2239681775503032,15.326184272766113,0.712788999080658,391
88,-0.14137204188872557,18.27069664001465,0.8713833689689636,391
89,-0.14380930187275914,16.123851776123047,0.7318213582038879,391
90,-0.16396863802986414,18.33646583557129,0.8688888549804688,391
91,-0.16554315155372024,16.045576095581055,0.8065727353096008,391
92,-0.19524452589390337,16.945701599121094,0.8625276684761047,391
93,-0.1182042095783974,18.839994430541992,0.8853128552436829,391
94,-0.08056904297426838,18.21071434020996,0.8208107948303223,391
95,-0.10046799133395981,15.999917984008789,0.8180832862854004,391
96,-0.21915852814636497,17.917129516601562,0.866718053817749,391
97,-0.09123582688405577,18.372652053833008,0.8355111479759216,391
98,-0.17152545457620108,18.531055450439453,0.8586931824684143,391
99,-0.14791576198333173,17.78120231628418,0.8445492386817932,391
100,-0.18544379710827186,16.846847534179688,0.8240154385566711,391
